%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channel0,field.channel1,field.channel2,field.channel3,field.channel4,field.channel5,field.channel6,field.channel7
1421850805093132019,17340,1421850805093132019,0,2080,1984,2384,2032,4080,4080,0,0
1421850805143139839,17341,1421850805143139839,0,2080,1984,2384,2032,4080,4080,0,0
1421850805193150043,17342,1421850805193150043,0,2080,1984,2384,2032,4080,4080,0,0
1421850805243157864,17343,1421850805243157864,0,2080,1984,2384,2032,4080,4080,0,0
1421850805293165922,17344,1421850805293165922,0,2080,1984,2384,2032,4080,4080,0,0
1421850805343173981,17345,1421850805343173981,0,2080,1984,2384,2032,4080,4080,0,0
1421850805393182039,17346,1421850805393182039,0,2080,1984,2384,2032,4080,4080,0,0
1421850805443189859,17347,1421850805443189859,0,2080,1984,2384,2032,4080,4080,0,0
1421850805493199825,17348,1421850805493199825,0,2080,1984,2384,2032,4080,4080,0,0
1421850805543207884,17349,1421850805543207884,0,2080,1984,2352,2032,4080,4080,0,0
1421850805593215942,17350,1421850805593215942,0,2080,1984,2352,2032,4080,4080,0,0
1421850805643224001,17351,1421850805643224001,0,2080,1984,2336,2032,4080,4080,0,0
1421850805693231821,17352,1421850805693231821,0,2080,1984,2336,2032,4080,4080,0,0
1421850805743239880,17353,1421850805743239880,0,2080,1984,2336,2032,4080,4080,0,0
1421850805793247938,17354,1421850805793247938,0,2080,1984,2336,2032,4080,4080,0,0
1421850805843255997,17355,1421850805843255997,0,2080,1984,2320,2032,4080,4080,0,0
1421850805893261909,17356,1421850805893261909,0,2080,1984,2288,2032,4080,4080,0,0
1421850805943269968,17357,1421850805943269968,0,2080,1984,2288,2032,4080,4080,0,0
1421850805993275881,17358,1421850805993275881,0,2080,1984,2288,2032,4080,4080,0,0
1421850806043283939,17359,1421850806043283939,0,2080,1984,2288,2032,4080,4080,0,0
1421850806093289852,17360,1421850806093289852,0,2080,1984,2288,2032,4080,4080,0,0
1421850806143297911,17361,1421850806143297911,0,2080,1984,2288,2032,4080,4080,0,0
1421850806193305969,17362,1421850806193305969,0,2080,1984,2288,2032,4080,4080,0,0
1421850806243311882,17363,1421850806243311882,0,2080,1984,2288,2032,4080,4080,0,0
1421850806293319941,17364,1421850806293319941,0,2080,1984,2288,2032,4080,4080,0,0
1421850806343325853,17365,1421850806343325853,0,2080,1984,2288,2032,4080,4080,0,0
1421850806393333912,17366,1421850806393333912,0,2080,1984,2288,2032,4080,4080,0,0
1421850806443339825,17367,1421850806443339825,0,2080,1984,2304,2032,4080,4080,0,0
1421850806493347883,17368,1421850806493347883,0,2080,1984,2304,2032,4080,4080,0,0
1421850806543355942,17369,1421850806543355942,0,2080,1984,2320,2032,4080,4080,0,0
1421850806593361855,17370,1421850806593361855,0,2080,1984,2320,2032,4080,4080,0,0
1421850806643369913,17371,1421850806643369913,0,2080,1984,2320,2032,4080,4080,0,0
1421850806693375826,17372,1421850806693375826,0,2080,1984,2320,2032,4080,4080,0,0
1421850806743383884,17373,1421850806743383884,0,2080,1984,2352,2032,4080,4080,0,0
1421850806793390036,17374,1421850806793390036,0,2080,1984,2368,2032,4080,4080,0,0
1421850806843397856,17375,1421850806843397856,0,2080,1984,2368,2032,4080,4080,0,0
1421850806893405914,17376,1421850806893405914,0,2080,1984,2384,2032,4080,4080,0,0
1421850806943411827,17377,1421850806943411827,0,2080,1984,2384,2032,4080,4080,0,0
1421850806993419886,17378,1421850806993419886,0,2080,1984,2384,2032,4080,4080,0,0
1421850807043426037,17379,1421850807043426037,0,2080,1984,2384,2032,4080,4080,0,0
1421850807093433857,17380,1421850807093433857,0,2080,1984,2384,2032,4080,4080,0,0
1421850807143440008,17381,1421850807143440008,0,2080,1984,2384,2032,4080,4080,0,0
1421850807193447828,17382,1421850807193447828,0,2080,1984,2384,2032,4080,4080,0,0
1421850807243455887,17383,1421850807243455887,0,2080,1984,2384,2032,4080,4080,0,0
1421850807293462038,17384,1421850807293462038,0,2080,1984,2384,2032,4080,4080,0,0
1421850807343469858,17385,1421850807343469858,0,2080,1984,2384,2032,4080,4080,0,0
1421850807393476009,17386,1421850807393476009,0,2080,1984,2384,2032,4080,4080,0,0
